Height(Inches);Weight(Pounds);Sex;Age
68,36275;140,026;M;18
68,39028;117,519;F;20
68,77413;143,8737;F;18
69,9236;141,1703;M;18
71,55542;155,9414;F;18
68,44764;134,0093;F;20
66,71398;130,0975;M;22
66,68413;106,2265;F;20
67,93699;112,0489;F;20
68,89855;136,1884;M;36
67,29191;131,236;M;21
69,57212;131,3231;M;17
67,67479;119,5261;F;34
69,04155;116,9965;M;22
67,96765;138,5255;F;28
65,83982;109,6518;M;26
65,77288;130,1569;M;24
71,14106;137,1114;M;27
67,83055;113,759;M;26
65,0693;114,9725;F;19
69,70745;127,7149;F;24
69,92983;121,9972;M;22
66,11569;117,9607;M;20
68,61364;127,7141;F;18
68,9976;117,9619;F;19
66,79171;125,1554;M;21
68,02363;141,1026;M;20
69,67258;145,4822;F;24
71,82178;116,065;M;18
72,74676;135,7458;F;20
67,27951;132,9248;M;20
67,41015;115,6622;F;20
68,5315;114,3184;F;21
68,47126;148,952;M;24
68,51867;142,1878;M;21
63,72529;134,104;M;19
67,70483;141,8926;F;21
69,47115;138,7444;M;22
66,70198;134,449;M;24
65,23126;117,0167;M;20
69,89473;115,6752;F;18
69,83048;134,7905;F;20
65,3979;120,5746;F;21
68,32214;120,0835;F;27
65,93895;84,3598;F;19
70,09805;138,9394;F;24
66,05531;143,5245;M;18
68,23481;123,1347;F;32
65,21758;115,5261;M;21
69,16173;120,9844;F;19
67,60064;120,6473;F;21
67,28621;124,0352;F;24
66,84323;117,2238;F;20
68,08281;127,9598;M;19
66,56991;116,7527;M;21
70,16973;121,9957;F;21
67,85113;123,9952;F;21
66,62309;108,855;F;22
63,68816;104,6574;M;18
68,0356;132,248;F;20
66,941;127,1834;M;19
66,26292;125,1209;F;20
70,7301;133,322;F;24
70,70844;122,3364;M;18
73,26872;130,2636;M;22
63,79021;116,7431;M;18
67,84109;125,8534;F;21
67,78058;100,627;M;20
67,23901;118,4945;F;19
66,75701;137,1255;M;19
69,03098;118,6991;F;22
68,52652;124,1641;M;22
64,65419;124,9442;M;18
65,14295;126,3889;M;26
66,74124;121,5255;M;18
66,99923;133,2951;F;20
70,26611;127,4072;F;24
67,57666;125,08;F;18
66,30582;102,8114;F;26
68,90702;134,2212;F;19
65,60543;100,9758;F;21
68,00189;145,8886;F;20
69,93715;155,3046;M;22
70,1459;138,7175;F;27
66,66364;116,2611;M;22
69,40676;120,6087;F;18
66,80598;114,4083;M;20
67,70048;133,3406;F;22
69,13438;92,74955;F;22
67,53769;131,7825;M;22
65,77912;118,3865;F;22
66,25769;131,1466;F;18
67,39038;130,2033;M;24
64,94327;129,1836;F;24
69,25699;143,1445;F;21
69,07739;138,7307;M;28
69,64403;130,9528;M;19
69,07705;124,3032;F;21
68,01304;135,3702;F;18
68,85664;124,1988;M;28
63,19158;111,2389;M;22
65,57591;129,4037;M;27
69,12101;127,7444;F;30
69,78765;121,3311;M;24
67,48203;118,2183;F;20
69,08809;123,3441;F;21
68,5529;151,9118;F;24
68,21327;115,3108;M;18
67,1012;122,3844;M;18
71,23661;129,2323;M;33
69,11946;138,2824;M;28
65,49848;144,0565;F;20
66,58706;120,8482;F;19
67,99831;113,3034;F;21
72,57747;149,3227;F;28
67,97585;130,6373;M;30
66,62347;122,387;F;21
67,29574;133,8677;M;18
65,95951;134,8336;F;21
66,54011;137,8363;M;24
68,07723;112,6812;M;24
65,83291;121,1964;M;21
69,23721;114,9262;M;22
64,69413;110,3762;M;20
69,21372;126,0337;M;22
67,16792;118,7008;M;26
67,8467;119,3108;M;26
69,27389;150,7397;M;19
67,90547;121,1142;M;21
67,076;118,4065;F;22
70,01531;142,759;F;33
70,05454;145,6305;M;26
70,86714;127,3425;F;19
66,0586;115,9678;M;36
65,23745;104,4441;F;22
68,7413;138,4905;F;20
69,51946;145,5049;F;24
70,30764;124,4065;M;19
67,29982;124,1866;M;18
67,60582;126,1659;F;18
67,85566;138,8125;M;18
66,46536;121,5515;F;21
68,92071;114,2555;M;23
68,46886;129,4022;M;18
69,5193;137,5583;M;27
70,23956;134,4996;M;18
67,85651;127,7103;F;21
68,00435;115,6709;F;20
67,13983;131,5906;M;20
68,09931;127,5839;F;21
68,99077;125,7211;F;20
69,32618;119,9885;M;18
70,09286;140,8676;F;18
68,74304;136,9164;F;19
64,18633;118,4759;F;19
66,09074;129,5516;F;24
69,24418;152,0714;M;18
69,66512;120,8646;F;20
68,42721;136,1027;F;21
68,28613;130,0611;F;18
69,37684;131,7743;F;24
68,35315;139,38;F;21
72,32489;168,229;M;21
70,37159;127,6446;M;22
65,72927;131,8008;M;22
66,49627;122,8561;F;20
70,81339;140,2133;M;20
67,37579;142,6929;F;19
67,79709;137,4299;M;22
68,1607;126,0392;F;22
68,85782;143,5985;F;28
67,71342;122,62;F;24
64,66007;108,6044;F;21
65,73721;100,6617;F;19
68,42441;116,1397;F;26
68,88946;140,5293;M;26
68,27367;125,6907;F;22
69,18045;134,3329;F;21
72,60996;136,4649;F;22
66,04157;127,8822;M;27
69,2288;123,1361;F;19
68,87697;116,3375;M;18
66,46042;124,5581;M;20
69,30444;125,7853;M;22
67,58249;107,5905;F;22
69,41816;143,0236;F;27
67,46867;118,7434;F;20
66,44873;118,9856;F;18
68,76185;131,8744;M;21
63,76881;119,3691;F;20
69,03663;126,1223;M;24
66,48966;126,6122;F;18
66,74224;113,5597;M;22
67,69394;115,8413;F;24
66,69066;130,2738;F;32
67,02877;125,4542;M;23
65,91096;117,1655;F;18
70,0304;137,3184;M;19
69,26978;149,4447;F;20
70,07695;151,0695;F;20
64,90942;116,9994;M;22
69,68744;138,1787;F;20
67,56524;127,621;M;21
63,85529;120,7514;M;27
71,6189;144,2537;F;26
64,98993;105,7939;F;23
64,60759;120,1567;M;22
62,01666;109,0848;M;19
65,28516;125,971;F;27
67,70163;110,2325;M;19
70,85794;134,4706;M;18
68,17075;115,5067;M;22
67,45006;125,1086;F;26
71,04224;116,4113;M;19
67,83032;133,3944;M;18
67,15488;108,7478;M;24
68,30289;134,3986;M;24
65,41208;131,2085;M;24
68,66755;130,8318;M;20
70,06733;127,0838;M;33
69,13413;119,4067;M;26
67,02078;105,5616;M;22
65,52274;134,4733;M;19
70,19808;132,6897;F;23
67,66866;126,058;M;22
69,73257;126,3532;F;24
67,61719;142,3603;M;24
70,79589;124,5873;M;24
69,65804;122,3604;F;21
66,73277;123,2298;F;21
67,58008;131,4049;F;27
65,25317;124,3037;M;19
70,71387;128,3836;M;19
71,27374;136,853;F;21
66,55913;118,0569;M;18
68,04247;121,4969;M;20
68,11699;119,2811;F;22
71,2367;126,5545;F;32
66,92387;129,2477;M;21
71,10381;134,7804;F;20
69,41466;146,0725;M;24
69,16807;162,4109;F;21
68,57725;130,1885;F;23
69,60315;132,1941;M;26
69,05087;127,4591;M;28
68,28699;125,3466;M;19
69,25276;134,7559;F;22
68,23862;121,9395;F;27
67,6868;125,6688;M;20
68,84083;145,956;M;18
69,52061;119,9207;F;21
66,97668;111,5093;F;24
72,0053;138,676;F;22
67,44482;135,0151;M;21
66,06214;116,509;M;22
65,5747;123,9575;M;22
68,30171;136,952;M;22
71,02603;153,0797;F;23
70,76882;126,357;F;18
67,50812;145,0614;F;26
69,50936;135,1739;M;19
66,4455;108,806;M;19
68,5689;110,5155;M;20
67,01296;138,2685;F;28
68,70004;119,5111;F;22
68,23013;115,3214;M;20
70,40713;132,3684;M;20
65,69989;93,99438;F;18
65,7031;127,4051;F;26
68,48055;134,3024;F;20
66,62891;124,9721;M;21
66,84285;124,072;M;20
69,89734;133,5476;M;20
67,6543;134,1509;M;22
68,30917;130,2489;M;21
69,74848;138,0935;F;27
68,57906;126,6064;M;27
68,14477;131,8076;F;21
67,98093;131,7363;F;22
64,82535;117,6261;F;21
69,20785;126,1943;M;23
69,2656;127,5132;M;22
70,9403;142,4785;M;20
69,07826;139,444;F;20
66,20183;110,3204;F;21
71,05779;131,9541;M;18
68,99493;129,2037;F;19
70,96089;124,3513;F;22
66,02496;126,5251;M;27
69,8641;149,2303;F;26
66,82802;142,1577;M;21
69,09424;127,1436;F;28
66,81425;122,3353;M;27
67,13183;112,6659;F;24
64,57428;134,2647;F;18
68,68038;120,6936;F;22
67,53724;115,783;F;32
71,17732;128,6855;F;22
70,53514;134,7611;M;23
71,53411;118,3419;F;26
66,77301;106,1557;M;21
66,33636;126,3823;M;22
64,83095;114,3716;M;21
68,38247;130,2787;F;30
68,05038;123,3066;M;18
69,09149;122,8571;F;20
69,91046;125,6932;M;21
68,40737;111,7247;F;27
68,32559;125,5516;M;34
66,95555;119,9702;F;24
70,54816;132,6043;M;20
69,37805;132,6738;M;21
67,52012;117,4521;F;21
64,87142;101,8549;F;18
69,13396;128,4418;M;20
68,81192;134,0414;M;24
67,56446;127,7511;F;22
68,16772;127,6172;F;20
65,80687;139,3971;F;23
64,92276;113,9381;F;20
68,35584;147,5188;M;22
66,71546;132,6523;F;21
69,18196;132,8139;M;26
65,88795;105,0942;F;20
66,03733;127,5187;F;33
69,44194;130,7305;M;18
67,14847;128,5815;F;18
65,69442;122,5699;M;20
69,42723;157,2961;M;32
66,54503;121,1097;F;24
69,04469;147,5061;M;21
67,62036;117,493;M;21
69,59105;132,4472;F;20
68,12343;118,1774;M;27
71,22641;123,7319;M;18
66,43285;130,365;F;20
66,31808;122,8882;M;22
68,02724;107,8693;F;22
68,2876;118,591;F;20
66,91609;125,6467;M;18
71,77546;148,6016;F;26
66,04535;150,279;F;27
69,01455;127,0678;F;18
68,70744;128,7122;F;18
65,012;118,4233;M;21
66,05857;125,3879;M;20
71,16403;149,2676;F;19
67,55274;107,3484;M;26
68,83455;133,6992;F;18
68,11811;124,8508;F;21
67,90528;112,7028;M;24
67,64085;127,8407;M;21
69,78282;134,1615;F;18
67,99889;138,6031;M;22
69,41465;126,044;M;18
70,42989;129,5856;F;18
67,67519;134,1054;M;20
67,88036;106,1251;F;24
68,06905;127,0561;F;20
66,99435;121,9241;M;24
71,57689;150,7365;M;27
64,36564;116,0061;F;20
67,93011;125,4748;M;20
69,91863;131,6099;F;26
69,93864;129,0696;M;22
66,79766;129,1117;F;22
70,11119;148,1624;F;20
68,94814;105,388;F;22
68,02886;110,5447;F;22
69,36148;118,6402;M;18
68,44886;122,8151;F;24
65,70282;124,887;F;18
69,55674;135,7695;F;22
65,84635;116,4563;F;22
68,79983;125,3617;F;24
69,03835;133,122;M;19
67,36352;138,3328;F;22
70,35788;124,4972;F;18
69,88828;136,7205;F;19
65,15319;115,0153;M;18
69,40907;132,6366;F;24
68,50874;143,1323;F;26
65,71552;134,7422;M;24
63,98308;122,6246;F;27
70,07685;153,5634;F;27
68,42542;126,289;F;20
68,23665;134,7206;F;21
67,82856;134,5987;M;21
66,31277;118,3945;F;28
69,75128;121,2997;F;18
65,70901;132,2844;F;19
66,88227;139,0617;M;19
67,2791;110,698;F;19
70,63357;154,1073;M;23
69,9377;124,1592;F;19
65,87671;134,5173;F;18
72,44694;138,2622;M;19
70,07052;149,0801;F;18
67,68486;127,0075;M;18
66,1151;117,8222;F;22
69,94355;148,9096;F;20
68,24317;128,2151;F;28
68,80144;129,6944;M;26
66,61818;125,5674;M;26
70,18701;128,7947;M;22
65,58971;124,187;F;30
68,69566;151,4167;F;21
64,88639;106,9803;M;19
69,81993;145,6221;M;20
66,33962;121,5926;F;21
70,4434;130,9386;F;23
69,99163;135,6203;F;18
70,13617;123,9315;M;20
67,1793;131,9955;F;20
68,2034;117,484;F;22
67,76121;129,6577;M;21
64,79753;122,3706;F;21
66,47871;114,5867;M;23
66,98337;116,5401;M;19
65,69991;139,4307;F;24
66,82705;123,4822;M;20
66,35141;132,5492;F;18
70,13491;143,4013;F;18
70,11565;132,9429;M;21
64,56145;98,8972;M;26
68,15724;122,4342;M;20
67,1475;104,6767;F;35
70,88927;142,7847;M;26
68,16218;130,9283;F;27
71,19657;143,827;F;22
67,92444;142,2832;M;20
65,30204;107,9441;F;26
66,40756;105,6891;F;21
71,30647;125,4007;F;18
69,05997;106,4195;M;19
65,95442;118,5371;F;21
69,63776;136,7836;F;26
71,10495;145,9328;F;22
66,21851;129,637;F;20
66,13469;108,4955;M;19
67,7851;121,2537;M;19
66,67737;135,7399;F;20
69,99408;137,5026;F;20
71,1441;124,0052;F;21
68,63927;128,8613;M;20
69,08548;133,6811;M;20
67,97389;106,5185;F;24
65,94809;113,0398;F;22
66,02102;125,9639;F;21
71,23576;140,2945;M;24
67,52674;143,229;M;24
71,06935;145,8063;F;19
68,27178;128,1697;F;20
67,31932;134,1839;F;22
68,98848;140,2166;F;22
68,404;146,3453;M;18
67,092;132,0784;F;21
66,76866;122,13;M;20
65,64636;131,4693;F;20
65,34105;129,5167;F;18
68,18299;125,7451;F;22
70,65924;153,1384;F;18
65,94401;124,5559;F;20
69,62792;134,8225;F;21
68,29965;115,3877;F;19
70,06075;117,9618;M;21
68,43602;124,5647;F;20
69,27012;134,4043;M;18
67,70511;129,3092;F;20
70,89315;133,1423;M;21
70,54313;147,3609;F;24
71,58086;155,0132;F;19
68,42301;126,2905;F;21
69,35781;134,4605;M;24
70,445;134,0296;M;24
67,38153;128,9248;F;26
67,50767;123,0543;F;20
68,52054;112,1788;M;26
66,80858;111,7443;F;21
72,38532;148,4615;M;19
68,51642;136,7459;F;18
70,79791;133,2068;F;36
66,21905;116,8855;M;30
68,31167;124,8542;F;30
67,1715;121,5809;M;18
67,7714;123,197;M;26
67,47328;137,1255;F;18
67,77463;121,4941;F;19
69,20099;150,9398;M;26
70,04297;142,3009;M;18
70,56979;134,7527;M;22
66,45379;133,5585;F;18
67,68132;136,0895;F;20
65,75638;95,20216;F;18
69,3549;119,7404;F;18
70,5902;152,9146;F;18
67,27626;140,1991;F;27
68,48853;145,2503;M;22
67,02188;119,4855;F;21
65,77613;123,512;F;21
65,96579;110,6754;M;32
68,18868;111,4951;M;18
72,08595;139,4849;F;19
66,85358;133,088;M;28
69,10929;133,5196;F;19
64,5909;112,7698;M;21
67,03849;124,7975;F;26
68,99156;123,4224;M;21
70,59872;142,0921;F;23
70,08988;116,2814;F;26
65,6844;131,1256;M;22
67,0982;131,2493;F;28
66,03932;127,2422;M;21
69,26423;122,4523;M;24
66,61351;115,2431;F;20
68,11738;126,9532;F;24
69,73059;143,4439;M;22
64,02042;125,377;M;24
66,23753;109,0095;F;22
72,46761;139,2411;F;19
66,21938;102,182;F;24
71,2978;144,3898;M;26
63,1255;83,08527;M;21
70,93034;145,3938;F;22
68,25489;134,9267;M;20
64,78014;134,678;F;20
65,42982;111,4963;M;21
68,91361;119,7951;F;24
64,96937;95,70426;M;19
66,15237;117,159;M;22
65,98386;127,2356;F;18
69,2435;144,9205;M;28
68,31982;122,8464;F;24
70,11607;134,19;M;27
68,63521;124,9776;M;22
67,74289;135,8441;F;23
64,58641;120,8222;M;18
64,66165;125,0174;F;33
65,90771;133,5474;F;20
65,77649;124,5583;M;22
67,1506;135,9691;M;18
72,24339;143,5738;F;22
68,73199;130,5725;M;21
67,57019;127,192;M;22
70,36234;141,2372;F;24
63,62233;107,4236;M;20
66,20711;122,3234;M;26
66,22114;111,6055;F;24
70,0722;137,8915;F;20
69,6563;142,8742;F;22
66,25043;114,4349;F;22
68,0704;128,2736;F;30
67,14808;134,5725;F;18
68,76609;140,1034;M;20
68,12075;121,977;M;20
65,72987;111,4248;M;18
69,17439;135,0756;F;18
70,36351;132,9826;M;21
70,78557;117,7566;F;22
70,88083;134,9877;M;20
66,62148;151,6121;F;20
69,9829;128,9287;M;21
66,92866;120,1575;F;26
71,45806;125,6007;F;18
69,66344;127,8292;M;21
69,30943;136,1354;F;22
66,59775;116,2841;M;20
64,20209;127,0777;F;19
68,23051;125,7165;M;20
70,09021;121,0749;F;24
70,9755;122,7382;M;19
64,93134;119,4545;M;18
66,90106;132,9048;F;22
69,19803;132,8687;M;21
68,4149;124,3486;F;21
66,3163;132,2198;M;18
72,13467;142,804;M;19
65,74613;129,605;F;20
69,96677;128,5326;M;19
65,11417;112,9919;M;20
67,43294;122,0795;M;22
66,39785;118,396;M;22
67,18769;130,1299;F;18
67,68597;111,6824;F;22
67,77469;142,2452;M;24
63,62937;122,6049;F;20
66,447;122,8198;M;28
71,9233;119,1123;F;26
67,92214;139,4335;F;23
68,01143;141,3353;F;26
67,76524;119,787;F;28
69,19791;136,326;M;19
67,00109;118,4099;F;20
67,09659;137,692;M;18
69,85144;129,078;F;21
67,42782;123,4642;F;21
68,1104;115,4311;M;20
68,29433;129,931;F;22
69,45176;135,9563;F;19
69,08219;127,8134;M;30
70,91753;139,1014;F;21
64,20566;109,2132;F;18
71,10315;124,6154;F;18
72,08523;136,221;M;35
66,15119;120,4722;M;18
67,52898;116,1659;M;26
67,17586;115,5093;M;22
72,92955;141,9961;F;34
65,54112;135,4869;F;20
69,08487;135,1305;F;20
65,28991;108,2494;M;24
68,53447;125,1277;M;22
71,32802;142,8947;F;21
66,88095;128,2978;F;18
67,91196;128,268;F;22
67,00238;103,5665;F;20
68,27584;156,1069;M;22
66,20276;104,9661;F;21
64,24214;121,6365;F;27
67,43738;132,0066;M;23
64,50081;118,4079;F;20
68,89607;135,3898;M;18
70,32908;140,6633;M;24
64,31742;111,6703;M;21
67,11253;128,0328;M;18
68,01206;130,4737;F;24
68,25267;128,2127;F;21
67,76873;142,8202;F;24
67,44291;123,0804;F;20
65,73581;117,8771;F;24
69,64372;130,9274;M;19
71,92818;129,1735;F;24
69,39435;144,5784;M;24
67,14717;115,8635;M;22
69,1469;116,5322;M;21
66,90594;141,9947;M;20
67,838;132,1304;F;22
68,09614;135,2607;F;26
66,14093;127,0684;F;18
71,16386;129,844;F;24
67,55757;134,5066;F;19
70,01279;121,3609;M;22
72,56431;143,1486;M;26
66,60224;124,7741;F;24
68,51802;120,1546;M;19
66,34638;139,4163;F;20
69,02692;131,6743;M;21
69,12446;131,07;M;21
68,24578;129,8914;M;20
68,4869;123,344;F;21
70,68261;137,5314;F;21
70,35969;136,8886;F;27
67,62401;118,4024;F;19
69,4463;116,2441;F;21
67,92486;124,8433;M;21
68,39347;120,9809;M;20
66,31812;105,1208;F;19
71,22882;145,4377;F;21
65,29169;108,1912;F;21
66,00287;130,3778;F;21
67,61775;117,5157;F;18
69,10276;135,8762;M;23
68,99743;127,5126;F;19
69,07531;151,3998;M;23
68,34086;112,4799;F;28
71,68196;156,7554;M;20
68,77664;138,2098;M;26
66,18191;109,5685;M;23
72,37092;139,9742;M;20
66,85155;124,5873;F;18
65,75688;130,5023;F;21
69,69245;151,0783;M;22
66,27915;108,7722;M;22
66,47752;105,9927;M;24
68,71912;143,4301;M;18
68,29244;114,7434;F;20
67,66696;123,7736;M;22
71,29885;139,4769;M;18
67,07369;115,8201;M;20
70,68048;146,5682;F;20
71,40114;153,9993;F;24
71,00392;137,5899;F;21
66,2799;125,9287;M;21
68,05383;139,6939;F;32
64,16346;126,3585;F;22
66,87966;113,9307;F;22
70,52968;129,7605;F;20
65,45595;116,1925;M;20
69,11331;139,1294;F;21
67,94221;126,9815;F;26
67,2132;125,8352;M;24
67,6372;113,524;F;20
70,09365;123,2372;F;20
64,41354;123,0554;M;22
69,77698;128,133;F;23
66,58181;127,9357;M;26
68,14995;110,4678;M;21
66,18165;127,9364;M;19
66,79412;118,1678;F;18
67,1657;129,7243;M;19
68,01904;130,6094;F;27
66,95837;105,0414;F;19
68,70397;122,6299;F;18
69,68057;138,3259;F;18
66,52793;107,7381;F;22
66,46981;141,4417;F;20
71,44643;153,6966;M;21
66,62648;134,5551;M;23
64,01015;109,6593;F;19
65,03312;117,2029;M;20
66,77216;124,2843;M;24
68,91932;125,2193;F;18
71,22926;133,2256;F;19
71,10332;122,6042;F;27
69,80699;134,8652;M;20
67,09127;111,4506;F;20
67,27958;116,8458;F;20
71,86593;143,1527;F;22
67,20197;99,92383;M;34
68,44108;127,9232;F;18
67,20278;136,658;M;22
69,36588;145,3947;F;19
69,0416;126,6818;M;18
65,9056;128,1983;M;18
66,44766;122,8328;M;24
66,08009;133,2571;M;24
69,35367;116,7606;F;20
70,83359;144,0455;M;32
67,664;132,5153;M;21
65,30966;123,9832;M;19
66,66817;113,1423;F;21
66,93271;123,9512;F;18
67,73938;133,9787;F;24
64,27722;128,1519;M;20
66,83442;121,2878;M;20
65,89728;122,7107;M;18
67,6564;125,4136;F;21
68,68966;124,8761;M;24
66,08003;116,5903;M;20
66,91344;129,889;M;19
69,48392;123,889;M;28
68,60001;137,6571;F;24
69,21225;130,8805;M;22
67,63342;141,9706;F;19
65,73405;125,7334;M;26
66,09947;104,4108;F;24
67,65293;117,0685;F;22
67,59619;131,7669;F;18
69,57859;125,4738;F;19
66,08879;129,5734;M;27
70,08026;130,1053;M;18
65,00956;131,9305;M;22
69,16464;142,4645;F;22
69,61276;127,6431;M;19
71,48367;153,3153;F;27
69,47413;126,7609;M;20
69,0027;114,0258;F;22
69,5581;133,9684;F;27
68,63746;127,5869;M;24
67,20262;126,4859;M;24
66,07614;120,7651;M;24
66,18342;126,6479;M;20
70,80778;133,0747;F;22
67,158;125,9649;M;21
65,2973;121,3206;F;22
69,23494;129,7824;F;24
68,90768;130,0549;M;20
72,3478;123,4005;F;21
68,29557;137,2791;M;22
68,34735;127,7554;F;19
67,46476;133,6853;F;24
68,86803;113,9275;F;21
66,62471;135,6168;M;22
64,77193;122,6005;F;21
67,70647;118,9472;M;18
72,992;134,2703;F;18
70,95194;124,2747;M;21
67,95677;130,6981;M;19
67,20959;124,6797;M;18
66,36959;129,0839;F;20
67,63896;121,9456;F;20
69,74444;126,2689;M;20
68,17532;134,6122;F;20
66,89711;131,8476;F;18
67,4966;103,5828;F;22
66,51569;116,3925;F;22
66,88332;123,5095;M;22
69,7277;150,3395;M;19
69,78345;135,2437;M;35
65,40046;112,4584;F;22
67,99831;137,4861;M;20
72,25581;132,7902;F;22
70,79562;126,0286;M;22
65,18786;141,3591;F;18
67,7123;135,9065;M;26
70,05146;134,6655;F;18
67,30497;122,0232;F;18
66,39813;128,3502;F;19
69,73637;130,6354;F;21
