Indice,Altura,Peso,Sexo,Idade,IMC
158,1.69,69.6,M,24,24.2
159,1.75,66.9,M,26,21.9
160,1.68,62.9,F,19,22.2
161,1.71,75.2,M,21,25.7
162,1.81,73.6,F,19,22.4
163,1.73,68.5,M,17,22.9
164,1.78,69,F,21,21.7
165,1.73,66.7,F,24,22.3
166,1.66,65.3,F,19,23.6
167,1.64,68.7,M,34,25.5
168,1.74,66,M,22,21.9
169,1.67,63,F,18,22.5
170,1.64,67,M,24,24.8
171,1.75,75,M,24,24.6
172,1.79,76.4,F,22,23.8
173,1.79,70.4,F,19,22
174,1.76,70.7,F,28,22.9
175,1.68,74,F,18,26.4
176,1.79,79.4,F,22,24.7
177,1.74,65.5,F,27,21.6
178,1.73,68.3,M,18,22.9
179,1.76,63.5,F,24,20.4
180,1.7,75.5,M,33,26.2
181,1.63,67.1,M,20,25.3
182,1.77,66.9,M,18,21.5
183,1.76,69.5,M,19,22.3
184,1.78,73.3,M,20,23.1
185,1.78,71.8,M,21,22.6
186,1.67,60.7,F,20,21.9
187,1.74,72.9,F,18,24
188,1.67,57.3,F,24,20.5
189,1.78,71.7,M,18,22.5
190,1.75,76.1,M,26,24.8
191,1.66,62.2,F,20,22.5
192,1.77,73.6,M,21,23.4
193,1.66,71.9,M,19,26.1
194,1.74,68.2,M,20,22.5
195,1.72,68.8,F,21,23.2
196,1.76,78.2,M,20,25.4
197,1.8,78.3,F,21,24.2
198,1.83,72.3,M,18,21.6
199,1.74,68.4,M,27,22.7
200,1.76,77.3,M,20,24.8
201,1.81,74.6,M,21,22.9
202,1.71,65.9,F,22,22.5
203,1.71,71.3,M,20,24.4
204,1.67,66.6,M,21,24
205,1.81,75.2,F,20,23
206,1.67,68.5,M,18,24.7
207,1.78,69.9,F,20,22.1
208,1.79,72.6,F,18,22.6
209,1.72,73.5,M,18,24.9
210,1.68,71.7,F,18,25.5
211,1.72,61.4,F,20,20.8
212,1.8,75.8,M,22,23.4
213,1.73,66.1,F,20,22.2
214,1.72,66.1,F,20,22.2
215,1.82,75.5,M,36,22.8
216,1.67,70.7,M,21,25.5
217,1.73,69.8,M,17,23.4
218,1.69,66.5,F,34,23.3
219,1.63,60.9,M,22,22.9
220,1.62,63.1,F,28,24.1
221,1.72,79,M,26,26.6
222,1.72,71.4,M,24,24.2
223,1.76,75.9,M,27,24.4
224,1.65,72.7,M,26,26.8
225,1.75,69.5,F,19,22.6
226,1.69,64.8,F,24,22.7
227,1.75,73.8,M,22,24.2
228,1.74,80.4,M,20,26.5
229,1.67,64.4,F,18,23.1
230,1.79,74.7,F,18,23.2
231,1.81,81,M,21,24.6
232,1.71,72.3,M,20,24.6
233,1.68,68.7,F,24,24.3
234,1.73,64.1,M,18,21.4
235,1.72,66.2,F,20,22.4
236,1.72,72.5,M,20,24.6
237,1.7,60.5,F,20,20.9
238,1.66,63.1,F,21,22.8
239,1.72,64.3,M,24,21.7
240,1.79,73.1,M,21,22.8
241,1.75,72,M,19,23.6
242,1.8,63.9,F,21,19.6
243,1.64,65.7,M,22,24.4
244,1.7,74.9,M,24,25.8
245,1.77,83.2,M,20,26.7
246,1.73,66.3,F,18,22.1
247,1.7,71,F,20,24.7
248,1.76,72.3,F,21,23.5
249,1.73,67.1,F,27,22.4
250,1.73,74.1,F,19,24.7
251,1.74,60.6,F,24,20.1
252,1.8,75.5,M,18,23.2
253,1.76,69.9,F,32,22.6
254,1.74,76.3,M,21,25.1
255,1.75,69.1,F,19,22.6
256,1.73,68.1,F,21,22.7
257,1.68,62.9,F,24,22.4
258,1.68,63.3,F,20,22.5
259,1.66,67.8,M,19,24.5
260,1.8,77.6,M,21,23.9
261,1.7,63,F,21,21.8
262,1.76,68.2,F,21,22.1
263,1.73,63.5,F,22,21.3
264,1.69,68.7,M,19,24
265,1.75,68.7,F,20,22.3
266,1.72,71.8,M,18,24.3
267,1.79,64.8,F,20,20.3
268,1.73,73.9,F,24,24.7
269,1.77,65.6,M,18,21
270,1.71,69.2,M,22,23.6
271,1.79,72.9,M,18,22.8
272,1.78,65.2,F,21,20.5
273,1.7,74.9,M,20,26
274,1.7,67.1,F,19,23.2
275,1.67,70.7,M,19,25.3
276,1.75,64.8,F,22,21
277,1.73,69.6,M,22,23.2
278,1.75,68.7,M,18,22.4
279,1.68,75.3,M,26,26.5
280,1.68,68.2,M,18,24.2
281,1.75,68.8,F,20,22.4
282,1.65,61,F,24,22.3
283,1.71,63.7,F,18,21.9
284,1.77,71.1,F,26,22.8
285,1.76,73.3,F,18,23.7
286,1.84,76.8,F,21,22.7
287,1.75,68.5,F,20,22.3
288,1.71,62.9,M,22,21.4
289,1.73,63.5,F,27,21.1
290,1.77,79.9,M,22,25.6
291,1.68,68.3,F,18,24.1
292,1.7,69.7,M,20,24.1
293,1.76,68.2,F,22,22
294,1.76,78.9,F,22,25.4
295,1.73,66.7,M,22,22.2
296,1.7,70.1,F,22,24.2
297,1.74,60.8,F,18,20.1
298,1.71,65.9,M,24,22.4
299,1.71,67.6,F,24,23.1
300,1.66,59.5,F,21,21.5
301,1.73,78.6,M,28,26.1
302,1.68,74,M,19,26.3
303,1.65,63.7,F,21,23.4
304,1.8,71,F,19,22
305,1.71,70.8,M,28,24.3
306,1.74,68.5,M,22,22.6
307,1.78,75.4,M,27,23.9
308,1.74,65,F,30,21.4
309,1.69,60.2,M,24,21.1
310,1.76,71.5,F,20,23.2
311,1.68,72.5,F,21,25.8
312,1.79,72.2,F,24,22.7
313,1.66,67.5,M,18,24.4
314,1.73,69.5,M,18,23.3
315,1.64,70.3,M,33,26.2
316,1.68,72.4,M,28,25.7
317,1.82,79.6,F,20,24
318,1.71,64.7,F,19,22.2
319,1.77,70.8,F,21,22.6
320,1.73,67.7,F,28,22.5
321,1.73,72.2,M,30,24.1
322,1.7,64.5,F,21,22.4
323,1.78,73.4,M,18,23.1
324,1.76,70.1,F,21,22.5
325,1.72,59.3,M,24,20
326,1.66,64.9,M,24,23.7
327,1.67,70.5,M,21,25.4
328,1.65,61.5,M,22,22.6
329,1.69,66.8,M,20,23.5
330,1.9,68.4,M,22,18.9
331,1.72,75.1,M,26,25.5
332,1.73,82.6,M,26,27.6
333,1.66,67.7,M,19,24.4
334,1.71,73.8,M,21,25.2
335,1.71,63.5,F,22,21.7
336,1.74,66.8,F,33,22
337,1.78,82.6,M,26,26.2
338,1.74,60.8,F,18,20.1
339,1.77,66.5,M,36,21.3
340,1.72,63.3,F,22,21.4
341,1.75,59.3,F,20,19.3
342,1.65,65.7,F,24,24
343,1.69,74,M,18,25.8
344,1.69,76.1,M,18,26.7
345,1.64,68.5,F,18,25.5
346,1.73,73.2,M,19,24.6
347,1.68,56.8,F,21,20.2
348,1.76,75.8,M,23,24.4
349,1.75,74.8,M,18,24.4
350,1.76,77.7,M,27,25
351,1.73,69.4,M,18,23.3
352,1.8,73.8,F,21,22.8
353,1.65,59.2,F,20,21.7
354,1.7,74.3,M,20,25.8
355,1.69,58.6,F,21,20.6
356,1.76,65.5,F,20,21
357,1.7,68.4,M,18,23.6
358,1.68,57.6,F,18,20.4
359,1.72,68.4,F,18,23.2
360,1.74,58.8,F,19,19.3
361,1.8,71.3,F,24,22
362,1.75,75.2,M,19,24.5
363,1.75,70.7,F,20,23
364,1.73,64.1,F,21,21.5
365,1.64,67.9,F,18,25.3
366,1.68,55,F,24,19.5
367,1.78,78.6,F,21,24.7
368,1.76,73.5,M,21,23.8
369,1.72,72,M,22,24.5
370,1.74,73.4,M,22,24.3
371,1.73,65.3,F,20,21.7
372,1.76,80.3,M,20,26
373,1.74,72.4,F,19,23.9
374,1.71,66.1,M,22,22.5
375,1.85,70.2,F,22,20.5
376,1.76,68.9,F,28,22.2
377,1.78,68.8,F,24,21.6
378,1.63,62.7,F,21,23.6
379,1.73,59.6,F,18,20
380,1.69,69.2,F,26,24.3
381,1.67,60.3,M,26,21.7
382,1.75,69.3,F,22,22.6
383,1.75,66.6,F,21,21.7
384,1.68,71,F,22,25.2
385,1.78,77.8,M,27,24.4
386,1.75,66.2,F,19,21.7
387,1.82,72.5,M,18,21.9
388,1.68,57.1,M,20,20.2
389,1.75,69,M,22,22.6
390,1.73,66.4,F,22,22.3
391,1.72,67.8,F,27,22.9
392,1.7,66.4,F,20,22.9
393,1.66,53.5,F,18,19.4
394,1.73,72.6,M,21,24.2
395,1.69,67.1,F,20,23.4
396,1.71,59.5,M,24,20.3
397,1.7,60,F,18,20.9
398,1.7,64.2,M,22,22.1
399,1.7,67.4,F,24,23.4
400,1.78,76.6,F,32,24.1
401,1.73,70.4,M,23,23.5
402,1.74,60.9,F,18,20.1
403,1.71,73.1,M,19,25
404,1.69,66.8,F,20,23.4
405,1.75,73.4,F,20,24.1
406,1.73,69.8,M,22,23.4
407,1.74,63.7,F,20,21.1
408,1.7,65.7,M,21,22.6
409,1.7,64.5,M,27,22.4
410,1.64,61.1,F,26,22.7
411,1.73,64.8,F,23,21.6
412,1.74,66.7,M,22,22.1
413,1.77,76.6,M,18,24.4
414,1.68,61,F,27,21.5
415,1.67,64.9,M,18,23.3
416,1.64,68.4,M,18,25.3
417,1.71,74.8,M,22,25.5
418,1.72,66.5,F,26,22.5
419,1.72,73.7,M,19,24.9
420,1.73,64.3,M,18,21.4
421,1.74,75.1,M,24,24.7
422,1.67,70.1,M,24,25
423,1.76,71.2,M,24,23.1
424,1.74,67.4,M,20,22.2
425,1.75,68.3,M,33,22.3
426,1.7,83.2,M,26,28.7
427,1.7,71,M,22,24.7
428,1.63,65.2,M,19,24.6
429,1.67,56.4,F,23,20.1
430,1.77,61.8,M,22,19.8
431,1.77,64.9,F,24,20.7
432,1.73,68.7,M,24,22.9
433,1.82,82.1,M,24,24.9
434,1.68,61.5,F,21,21.9
435,1.73,61.8,F,21,20.6
436,1.76,73.5,F,27,23.7
437,1.65,65.3,M,19,24
438,1.68,73,M,19,25.9
439,1.77,65.9,F,21,21.1
440,1.69,73.5,M,18,25.8
441,1.72,70.3,M,20,23.8
442,1.72,75.7,F,22,25.6
443,1.73,67,F,32,22.3
444,1.68,71,M,21,25.3
445,1.7,65.5,F,20,22.6
446,1.71,71.2,M,24,24.5
447,1.65,69.6,F,21,25.6
448,1.69,62.3,F,23,21.9
449,1.69,72.7,M,26,25.5
450,1.7,72.7,M,28,25.1
451,1.62,75,M,19,28.7
452,1.75,70.9,F,22,23.2
453,1.64,62,F,27,22.9
454,1.68,66.6,M,20,23.6
455,1.71,71.3,M,18,24.2
456,1.77,69.4,F,21,22.2
457,1.73,67.8,F,24,22.8
458,1.66,66.1,F,22,23.9
459,1.66,75.1,M,21,27.4
460,1.67,63.3,M,22,22.8
461,1.78,73,M,22,23
462,1.75,81.7,M,22,26.6
463,1.75,70.7,F,23,23
464,1.77,58.7,F,18,18.8
465,1.7,70.8,F,26,24.5
466,1.86,74.5,M,19,21.5
467,1.69,70.2,M,19,24.5
468,1.68,71.2,M,20,25.3
469,1.69,66.4,F,28,23.2
470,1.64,59.1,F,22,21.9
471,1.77,76.3,M,20,24.3
472,1.71,64.3,M,20,22.1
473,1.68,63.9,F,18,22.6
474,1.74,70.6,F,26,23.4
475,1.8,70.5,F,20,21.7
476,1.77,74.2,M,21,23.6
477,1.81,68.2,M,20,20.7
478,1.78,72.4,M,20,22.7
479,1.76,70.5,M,22,22.6
480,1.66,67.4,M,21,24.3
481,1.66,59.4,F,27,21.5
482,1.71,73.2,M,27,25.1
483,1.75,73.8,F,21,24.2
484,1.77,75.1,F,22,24
485,1.68,65.1,F,21,23
486,1.7,79,M,23,27.2
487,1.76,69.8,M,22,22.6
488,1.74,67.5,M,20,22.4
489,1.8,67.5,F,20,20.8
490,1.69,67.8,F,21,23.8
491,1.71,67.8,M,18,23.1
492,1.63,51.7,F,19,19.5
493,1.73,60.7,F,22,20.4
494,1.72,75.4,M,27,25.6
495,1.62,67.4,F,26,25.7
496,1.72,71.2,M,21,24.2
497,1.68,63.9,F,28,22.7
498,1.76,74,M,27,23.9
499,1.76,67.5,F,24,21.7
500,1.78,66,F,18,20.9
501,1.77,75.7,F,22,24.3
502,1.73,65.7,F,32,22
503,1.75,74.3,F,22,24.3
504,1.75,73,M,23,23.8
505,1.74,67.5,F,26,22.2
506,1.65,64.5,M,21,23.8
507,1.69,71.5,M,22,24.9
508,1.79,73.4,M,21,22.8
509,1.78,66.4,F,30,21
510,1.75,68.9,M,19,22.5
511,1.72,70.3,F,20,23.8
512,1.61,76,M,21,29.3
513,1.74,66.1,F,27,22
514,1.79,71.9,M,34,22.5
515,1.76,68.6,F,24,22.1
516,1.71,62.1,M,20,21.2
517,1.72,77.7,M,21,26.2
518,1.74,66.4,F,21,21.9
519,1.68,61.1,F,18,21.6
520,1.62,65.3,M,20,24.9
521,1.73,74.9,M,24,24.9
522,1.67,69.6,F,22,24.9
523,1.74,62.7,F,20,20.7
524,1.73,72,F,23,24.2
525,1.7,57.4,F,20,19.8
526,1.73,67.1,M,22,22.3
527,1.72,69.8,F,21,23.5
528,1.7,65,M,26,22.6
529,1.77,63.1,F,20,20.2
530,1.65,62.7,F,33,23
531,1.76,78.7,M,19,25.5
532,1.63,63,F,19,23.6
533,1.74,69.5,M,20,23
534,1.79,76.8,M,32,24
535,1.74,66.6,F,24,21.9
536,1.7,73.1,M,21,25.4
537,1.76,70.1,M,21,22.7
538,1.68,61.3,F,20,21.7
539,1.76,75.7,M,27,24.4
540,1.7,64.9,M,18,22.4
541,1.78,67.2,F,20,21.1
542,1.71,70.4,M,22,24.2
543,1.76,74.4,F,22,23.9
544,1.77,74.6,F,20,23.8
545,1.68,72.2,M,18,25.5
546,1.69,57,F,26,19.9
547,1.75,70.1,F,27,22.9
548,1.66,63.5,F,18,23.2
549,1.8,70,F,18,21.7
550,1.82,76.9,M,21,23.3
551,1.72,74.3,M,20,25.2
552,1.71,61.5,F,19,21.1
553,1.66,66.1,M,26,23.9
554,1.65,71.4,F,18,26.3
555,1.81,68.1,F,21,20.9
556,1.71,64.7,M,24,22.1
557,1.8,74.8,M,21,23
558,1.72,60,F,19,20.3
559,1.84,72.4,M,22,21.5
560,1.73,68.8,M,18,23
561,1.64,62.1,F,18,23
562,1.72,73.4,M,20,24.8
563,1.64,66.2,F,24,24.5
564,1.71,66.7,F,20,22.7
565,1.77,80.1,M,24,25.5
566,1.79,82,M,27,25.5
567,1.79,67.5,F,20,21
568,1.78,69.8,M,20,21.9
569,1.71,67,F,26,22.9
570,1.75,68.1,M,22,22.3
571,1.79,69.2,F,22,21.5
572,1.8,76.2,F,20,23.6
573,1.78,73.7,F,22,23.1
574,1.73,70.7,F,22,23.5
575,1.69,61.5,M,18,21.6
576,1.74,75.7,F,24,25.1
577,1.78,75.9,F,18,23.9
578,1.78,73,F,22,23
579,1.78,64.9,F,22,20.5
580,1.68,64.8,F,24,22.9
581,1.78,73,M,19,22.9
582,1.71,69.6,F,22,23.9
583,1.7,68.9,F,18,23.9
584,1.74,67.2,F,19,22.2
585,1.69,70.6,M,18,24.8
586,1.76,70,F,24,22.5
587,1.8,75.1,F,26,23.3
588,1.71,68.2,M,24,23.3
589,1.77,73,F,27,23.3
590,1.74,70.9,F,27,23.4
591,1.71,64.1,F,20,21.9
592,1.72,71.2,F,21,24
593,1.73,68.9,M,21,23
594,1.7,69.9,F,28,24.3
595,1.7,62.7,F,18,21.6
596,1.8,71.6,F,19,22.1
597,1.73,65.4,M,19,22
598,1.77,70.9,F,19,22.6
599,1.76,70.4,M,23,22.7
600,1.71,66.1,F,19,22.6
601,1.75,71.2,F,18,23.2
602,1.73,76.2,M,19,25.5
603,1.63,66.8,F,18,25
604,1.66,63.4,M,18,22.9
605,1.77,71.4,F,22,22.8
606,1.68,63.1,F,20,22.4
607,1.71,72,F,28,24.6
608,1.72,71.5,M,26,24.2
609,1.78,74.2,M,26,23.5
610,1.71,74.4,M,22,25.6
611,1.68,66.5,F,30,23.5
612,1.81,73.3,F,21,22.3
613,1.71,63.9,M,19,21.8
614,1.71,78.5,M,20,26.8
615,1.74,70.6,F,21,23.4
616,1.74,64.4,F,23,21.3
617,1.61,64.4,F,18,24.8
618,1.64,64.4,M,20,24
619,1.66,64.3,F,20,23.4
620,1.62,58.9,F,22,22.4
621,1.74,74.9,M,21,24.6
622,1.71,66.8,F,21,22.9
623,1.65,78.4,M,23,28.7
624,1.77,81.8,M,19,26.1
625,1.67,67.9,F,24,24.5
626,1.68,62.7,M,20,22.2
627,1.78,76.7,F,19,24.1
628,1.69,62.5,F,18,21.8
629,1.76,74.9,M,21,24.2
630,1.67,62.4,M,26,22.4
631,1.71,75.9,M,20,26
632,1.67,62.6,F,35,22.3
633,1.71,76,M,26,26.1
634,1.76,63.8,F,27,20.6
635,1.68,59.3,F,22,20.9
636,1.76,76.8,M,20,24.8
637,1.69,63.9,F,26,22.4
638,1.75,61.2,F,21,19.9
639,1.7,69.3,F,18,24
640,1.71,76.7,M,18,26.2
641,1.73,72.4,F,21,24.3
642,1.72,62.6,F,26,21.1
643,1.77,66.7,F,22,21.2
644,1.66,63.8,F,20,23.1
645,1.65,66.7,M,18,24.5
646,1.73,80.3,M,19,26.9
647,1.71,68.6,F,20,23.3
648,1.72,68.6,F,20,23.2
649,1.76,71.1,F,21,23.1
650,1.78,74.5,M,20,23.5
651,1.71,65.1,M,20,22.2
652,1.78,67.3,F,24,21.1
653,1.77,72.6,F,22,23.3
654,1.63,67.1,F,21,25.2
655,1.75,69.3,M,24,22.5
656,1.74,69.2,M,24,22.8
657,1.71,66.8,F,19,22.9
658,1.69,57.7,F,20,20.2
659,1.73,71.9,F,22,24.1
660,1.75,63.2,F,22,20.6
661,1.77,68.9,M,18,22
662,1.71,57.2,F,21,19.6
663,1.69,70.5,M,20,24.8
664,1.73,70.7,F,20,23.7
665,1.68,63.9,F,18,22.5
666,1.77,73,F,22,23.4
667,1.75,67.3,F,18,22
668,1.83,63.9,F,20,19.1
669,1.69,73.3,F,21,25.7
670,1.67,64.7,F,19,23.2
671,1.75,81.3,M,21,26.5
672,1.75,68.1,F,20,22.1
673,1.67,68.2,M,18,24.3
674,1.7,65,F,20,22.5
675,1.86,83.5,M,21,24.2
676,1.77,72.7,F,24,23.2
677,1.73,74.2,F,18,24.7
678,1.79,66.3,F,21,20.8
679,1.72,65.5,M,24,22.1
680,1.76,74,M,24,24
681,1.73,70,F,26,23.4
682,1.68,70.5,F,20,24.9
683,1.66,69,M,26,25.1
684,1.71,66.6,F,21,22.7
685,1.65,61.3,M,18,22.7
686,1.82,73.2,F,18,22.1
687,1.65,70.9,F,36,25.9
688,1.76,67.6,M,30,21.8
689,1.75,69.4,F,30,22.7
690,1.75,74.2,M,18,24.2
691,1.78,76.3,M,26,24.1
692,1.76,69.2,F,18,22.3
693,1.68,69,F,19,24.3
694,1.66,68.1,M,26,24.7
695,1.66,69.7,M,18,25.4
696,1.71,62.6,M,22,21.5
697,1.7,67.3,F,18,23.2
698,1.78,76.8,F,20,24.3
699,1.81,68.8,F,19,21
700,1.7,66.2,F,18,23
701,1.69,71.3,F,18,25.1
702,1.69,66.1,F,27,23.1
703,1.76,69.3,M,22,22.4
704,1.69,64,F,21,22.5
705,1.8,68.3,F,21,21.2
706,1.77,73.9,M,32,23.5
707,1.66,69.4,M,18,25.1
708,1.74,68,F,19,22.5
709,1.76,73,M,28,23.5
710,1.68,60.8,F,19,21.5
711,1.66,77,M,21,27.8
712,1.69,64.1,F,26,22.4
713,1.73,66.1,M,21,22.1
714,1.69,64.3,F,23,22.6
715,1.8,67.7,F,26,21
716,1.65,67.2,M,22,24.7
717,1.81,65.4,F,28,20.1
718,1.69,68.3,M,21,23.8
719,1.75,65.9,M,24,21.6
720,1.72,67.7,F,20,22.9
721,1.74,68.9,F,24,22.8
722,1.75,68.4,M,22,22.5
723,1.63,64.3,M,24,24.3
724,1.77,68.4,F,22,21.9
725,1.78,68.1,F,19,21.4
726,1.69,68.6,F,24,24.1
727,1.66,71.9,M,26,26.1
728,1.73,77.7,M,21,26
729,1.76,72.4,F,22,23.5
730,1.75,77.5,M,20,25.4
731,1.69,68.7,F,20,24.1
732,1.7,69,M,21,23.8
733,1.68,69.1,F,24,24.3
734,1.69,65.1,M,18,22.8
735,1.71,69.8,M,22,23.9
736,1.81,74.1,F,19,22.5
737,1.76,71.9,M,28,23.2
738,1.68,63.8,F,24,22.7
739,1.75,76.5,M,27,25.1
740,1.63,73.4,M,22,27.7
741,1.74,69.8,F,23,23
742,1.79,75.1,M,18,23.4
743,1.7,58.9,F,33,20.4
744,1.68,64.4,F,20,22.9
745,1.75,73.7,M,22,24
746,1.7,76.7,M,18,26.4
747,1.71,63.5,F,22,21.7
748,1.69,70.7,M,21,24.9
749,1.77,74.6,M,22,23.8
750,1.71,72.2,F,24,24.8
751,1.86,71.9,M,20,20.7
752,1.71,71.3,M,26,24.4
753,1.83,75.2,F,24,22.5
754,1.66,52.2,F,20,19.1
755,1.75,76.1,F,22,25
756,1.7,60.1,F,22,20.8
757,1.7,64.8,F,30,22.5
758,1.74,65.1,F,18,21.5
759,1.74,76.5,M,20,25.2
760,1.7,68.5,M,20,23.7
761,1.78,76.5,M,18,24.2
762,1.83,75,F,19,22.5
763,1.76,71.1,M,21,22.9
764,1.7,65,F,22,22.4
765,1.76,69.9,M,20,22.6
766,1.68,60.8,F,20,21.4
767,1.71,75.1,M,21,25.6
768,1.7,72.5,F,26,25.2
769,1.77,70.7,F,18,22.5
770,1.68,75.3,M,21,26.6
771,1.74,67.7,F,22,22.4
772,1.66,60.4,M,20,21.8
773,1.73,65.6,F,19,22
774,1.73,64,M,20,21.3
775,1.64,59.9,F,24,22.4
776,1.79,64,M,19,20.1
777,1.77,80.7,M,18,25.8
778,1.76,65.3,F,22,21.2
779,1.69,70.3,M,21,24.5
780,1.69,57.5,F,21,20.3
781,1.84,71.1,M,18,21
782,1.71,63.4,M,19,21.7
783,1.72,69.3,F,20,23.5
784,1.67,56.8,M,18,20.4
785,1.76,79.3,M,20,25.7
786,1.77,70.7,M,22,22.7
787,1.7,71.9,M,22,24.8
788,1.72,65,F,19,21.9
789,1.69,75.5,F,22,26.5
790,1.73,74.2,M,24,24.7
791,1.71,67.1,F,20,22.9
