Indice,Altura,Peso,Sexo,Idade
160,66.22857,138.7114,F,19
161,67.32789,165.8515,M,21
162,71.42291,162.304,F,19
163,68.06319,151.04,M,17
164,70.25703,152.1246,F,21
165,68.11148,146.9945,F,24
166,65.54248,143.941,F,19
167,64.64468,151.3822,M,34
168,68.31099,145.589,M,22
169,65.9252,138.9856,F,18
170,64.70896,147.6519,M,24
171,68.71162,165.3104,M,24
172,70.56501,168.4058,F,22
173,70.51041,155.3282,F,19
174,69.11384,155.8302,F,28
175,65.95463,163.2015,F,18
176,70.63357,175.0548,F,22
177,68.55262,144.3777,F,27
178,67.93484,150.523,M,18
179,69.46842,140.0212,F,24
180,66.81174,166.4695,M,33
181,64.09194,147.9874,M,20
182,69.49369,147.4066,M,18
183,69.41607,153.1565,M,19
184,70.15549,161.5828,M,20
185,70.12654,158.2884,M,21
186,65.58498,133.8834,F,20
187,68.62814,160.7461,F,18
188,65.84472,126.2606,F,24
189,70.22442,158.1353,M,18
190,68.97119,167.7921,M,26
191,65.42432,137.2441,F,20
192,69.86288,162.1967,M,21
193,65.39469,158.5546,M,19
194,68.48504,150.4432,M,20
195,67.74345,151.7684,F,21
196,69.1343,172.5134,M,20
197,70.82076,172.6129,F,21
198,71.97374,159.5176,M,18
199,68.42664,150.8888,M,27
200,69.43111,170.3832,M,20
201,71.08246,164.4647,M,21
202,67.41511,145.2896,F,22
203,67.33308,157.2286,M,20
204,65.61432,146.8107,M,21
205,71.16317,165.9198,F,20
206,65.57002,151.0148,M,18
207,69.97793,154.161,F,20
208,70.56427,160.1363,F,18
209,67.64774,162.039,M,18
210,65.98122,158.0192,F,18
211,67.66432,135.2805,F,20
212,70.84942,167.1415,M,22
213,67.92486,145.7908,F,20
214,67.86761,145.7663,F,20
215,71.6941,166.472,M,36
216,65.58522,155.9756,M,21
217,67.97522,153.8132,M,17
218,66.50536,146.539,F,34
219,64.20041,134.3213,M,22
220,63.75295,139.1425,F,28
221,67.83599,174.2269,M,26
222,67.58645,157.3779,M,24
223,69.45741,167.3907,M,27
224,64.79003,160.2086,M,26
225,69.06524,153.1447,F,19
226,66.57506,142.9152,F,24
227,68.77974,162.7144,M,22
228,68.53744,177.3074,M,20
229,65.7309,141.9585,F,18
230,70.63179,164.6209,F,18
231,71.383,178.6194,M,21
232,67.46281,159.48,M,20
233,66.1986,151.3982,F,24
234,68.1341,141.3738,M,18
235,67.75152,146.0525,F,20
236,67.62592,159.9188,M,20
237,66.96911,133.5016,F,20
238,65.45463,139.1533,F,21
239,67.6748,141.6929,M,24
240,70.44551,161.0974,M,21
241,68.81957,158.7812,M,19
242,71.01151,140.8639,F,21
243,64.65454,144.8512,M,22
244,67.04034,165.1788,M,24
245,69.49112,183.4321,M,20
246,68.28699,146.2941,F,18
247,66.78503,156.4633,F,20
248,69.09806,159.3409,F,21
249,68.16256,147.9532,F,27
250,68.2166,163.2829,F,19
251,68.45109,133.6921,F,24
252,71.03311,166.4725,M,18
253,69.18297,154.2156,F,32
254,68.61172,168.2656,M,21
255,68.843,152.3391,F,19
256,68.20932,150.1882,F,21
257,66.04052,138.7786,F,24
258,65.9763,139.5065,F,20
259,65.54885,149.5052,M,19
260,70.88868,171.1233,M,21
261,66.88679,138.9126,F,21
262,69.23848,150.3954,F,21
263,67.9806,140.1271,F,22
264,66.61274,151.5393,M,19
265,69.01128,151.3938,F,20
266,67.64606,158.3372,M,18
267,70.34761,142.8845,F,20
268,68.07938,162.9623,F,24
269,69.66027,144.6868,M,18
270,67.34009,152.5128,M,22
271,70.42201,160.728,M,18
272,70.24106,143.7065,F,21
273,66.76883,165.1469,M,20
274,66.91687,147.9469,F,19
275,65.81341,155.9624,M,19
276,69.08499,142.9155,F,22
277,68.15698,153.3881,M,22
278,69.00165,151.5299,M,18
279,66.30784,166.0464,M,26
280,66.12271,150.3468,M,18
281,68.92071,151.6674,F,20
282,65.14281,134.4067,F,24
283,67.19566,140.5215,F,18
284,69.55674,156.717,F,26
285,69.17193,161.6066,F,18
286,72.38532,169.409,F,21
287,68.95852,151.0184,F,20
288,67.45638,138.587,M,22
289,68.21604,140.0077,F,27
290,69.60672,176.1544,M,22
291,66.25774,150.5788,F,18
292,66.89782,153.6044,M,20
293,69.26121,150.4696,F,22
294,69.39874,173.9744,F,22
295,68.18722,147.0336,M,22
296,67.00531,154.5886,F,22
297,68.41549,133.9542,F,18
298,67.48908,145.4112,M,24
299,67.31413,149.0525,F,24
300,65.44622,131.2527,F,21
301,68.25471,173.2098,M,28
302,66.04091,163.2059,M,19
303,64.95432,140.4883,F,21
304,70.75095,156.4602,F,19
305,67.17652,156.1489,M,28
306,68.54084,151.1464,M,22
307,69.98766,166.3669,M,27
308,68.56236,143.3827,F,30
309,66.43953,132.6697,M,24
310,69.19394,157.7405,F,20
311,66.04233,159.8882,F,21
312,70.30046,159.2788,F,24
313,65.52829,148.8806,M,18
314,68.06441,153.3372,M,18
315,64.50942,154.9067,M,33
316,66.1189,159.5994,M,28
317,71.67171,175.5449,F,20
318,67.21014,142.6797,F,19
319,69.72107,156.0806,F,21
320,68.2263,149.2604,F,28
321,68.11271,159.1674,M,30
322,66.80866,142.2739,F,21
323,70.21958,161.8632,M,18
324,69.43735,154.4922,F,21
325,67.76332,130.8667,M,24
326,65.20757,143.1742,M,24
327,65.5871,155.3733,M,21
328,64.94728,135.65,M,22
329,66.37838,147.2584,M,20
330,74.8489,150.8314,M,22
331,67.53167,165.5218,M,26
332,68.07891,182.1747,M,26
333,65.5203,149.2155,M,19
334,67.3748,162.6471,M,21
335,67.29436,140.0686,F,22
336,68.62805,147.2948,F,33
337,69.89075,182.1761,M,26
338,68.44904,134.0483,F,18
339,69.57387,146.6183,M,36
340,67.75431,139.5251,F,22
341,68.93253,130.7227,F,20
342,65.06853,144.793,F,24
343,66.6864,163.1331,M,18
344,66.42382,167.7805,M,18
345,64.54078,151.1303,F,18
346,67.93682,161.3485,M,19
347,66.05596,125.2556,F,21
348,69.39355,167.0587,M,23
349,68.86629,164.8302,M,18
350,69.36633,171.275,M,27
351,68.01152,153.0902,M,18
352,70.92173,162.7933,F,21
353,65.06613,130.53,F,20
354,66.83137,163.8425,M,20
355,66.46185,129.2607,F,21
356,69.44107,144.3597,F,20
357,66.98438,150.9003,M,18
358,66.2195,127.0195,F,18
359,67.64362,150.8213,F,18
360,68.64288,129.5625,F,19
361,70.83969,157.1327,F,24
362,68.95289,165.8952,M,19
363,69.07135,155.9988,F,20
364,67.94823,141.2441,F,21
365,64.55975,149.7765,F,18
366,66.04561,121.3048,F,24
367,70.2734,173.3776,F,21
368,69.1823,162.1443,M,21
369,67.56373,158.8599,M,22
370,68.38672,161.9211,M,22
371,68.20718,143.9134,F,20
372,69.2158,177.0972,M,20
373,68.47663,159.7143,F,19
374,67.51452,145.7465,M,22
375,72.89442,154.7117,F,22
376,69.36312,151.9977,F,28
377,70.25624,151.7959,F,24
378,64.15129,138.2987,F,21
379,68.02886,131.4922,F,18
380,66.46693,152.515,F,26
381,65.66304,132.9751,M,26
382,68.94058,152.8355,F,22
383,69.01782,146.8242,F,21
384,66.06089,156.6131,F,22
385,70.25009,171.4901,M,27
386,68.75121,145.9642,F,19
387,71.69734,159.9562,M,18
388,66.23984,125.8645,M,20
389,68.80229,152.1028,M,22
390,67.93011,146.4223,F,22
391,67.73289,149.5683,F,27
392,67.03704,146.3401,F,20
393,65.36984,118.01209,F,18
394,68.24369,160.1686,M,21
395,66.63849,147.8607,F,20
396,67.45506,131.2714,M,24
397,66.75113,132.1997,F,18
398,67.11306,141.6092,M,22
399,66.78985,148.6415,F,24
400,70.22624,168.8491,F,32
401,68.14535,155.2629,M,23
402,68.59913,134.3477,F,18
403,67.30735,161.1313,M,19
404,66.5271,147.1937,F,20
405,68.74068,161.8969,F,20
406,67.91609,153.8265,M,22
407,68.3649,140.4645,F,20
408,67.08338,144.9503,M,21
409,66.75351,142.2896,M,27
410,64.63102,134.6568,F,26
411,68.24137,142.8989,F,23
412,68.45511,147.0096,M,22
413,69.79824,168.9398,M,18
414,66.23406,134.4723,F,27
415,65.69863,143.0838,M,18
416,64.7415,150.879,M,18
417,67.44463,164.8859,M,22
418,67.68893,146.598,F,26
419,67.7046,162.5208,M,19
420,68.17552,141.8166,M,18
421,68.62133,165.5849,M,24
422,65.92413,154.4768,M,24
423,69.16742,157.1036,M,24
424,68.51504,148.5385,M,20
425,68.86083,150.6136,M,33
426,66.99205,183.5273,M,26
427,66.81007,156.5957,M,22
428,64.06236,143.77,M,19
429,65.90074,124.3693,F,23
430,69.63578,136.3073,M,22
431,69.74699,143.1376,F,24
432,68.10474,151.3815,M,24
433,71.54739,181.09,M,24
434,65.99098,135.5869,F,21
435,68.12769,136.2929,F,21
436,69.35076,162.1691,F,27
437,64.86837,143.9385,M,19
438,66.13306,160.8653,M,19
439,69.60759,145.4084,F,21
440,66.4482,162.1069,M,18
441,67.71177,155.0568,M,20
442,67.68177,167.0022,F,22
443,68.23,147.6562,F,32
444,65.95774,156.5239,M,21
445,67.03413,144.4525,F,20
446,67.1445,156.9572,M,24
447,64.87171,153.4554,F,21
448,66.36069,137.3151,F,23
449,66.49751,160.2025,M,26
450,66.98102,160.2444,M,28
451,63.66317,165.4176,M,19
452,68.8942,156.3459,F,22
453,64.7249,136.684,F,27
454,66.13711,146.8199,M,20
455,67.51289,157.1428,M,18
456,69.53845,152.9246,F,21
457,67.94061,149.4655,F,24
458,65.454,145.7692,F,22
459,65.19088,165.6797,M,21
460,65.65855,139.6718,M,22
461,70.14626,160.8859,M,22
462,69.05534,180.232,M,22
463,69.066,155.8393,F,23
464,69.59793,129.4704,F,18
465,66.97106,156.1503,F,26
466,73.192,164.1679,M,19
467,66.58363,154.8184,M,19
468,66.00426,157.0982,M,20
469,66.60747,146.3159,F,28
470,64.6203,130.243,F,22
471,69.79746,168.2518,M,20
472,67.21518,141.8041,M,20
473,66.28644,140.976,F,18
474,68.41482,155.6032,F,26
475,70.93771,155.3828,F,20
476,69.81239,163.6481,M,21
477,71.42226,150.283,M,20
478,70.25668,159.5961,M,20
479,69.44904,155.3909,M,22
480,65.5385,148.6478,M,21
481,65.5028,131.0402,F,27
482,67.2139,161.3492,M,27
483,68.80671,162.6868,F,21
484,69.7314,165.6755,F,22
485,66.23591,143.6159,F,21
486,67.08274,174.2137,M,23
487,69.14868,154.0168,M,22
488,68.36248,148.7292,M,20
489,70.98235,148.814,F,20
490,66.49242,149.4212,F,21
491,67.49858,149.4475,M,18
492,64.13956,114.04006,F,19
493,67.9143,133.9006,F,22
494,67.56099,166.3664,M,27
495,63.68425,148.561,F,26
496,67.54149,157.0877,M,21
497,66.03851,140.9794,F,28
498,69.35841,163.2783,M,27
499,69.43651,148.898,F,24
500,69.94376,145.5418,F,18
501,69.4938,167.014,F,22
502,68.05216,144.9568,F,32
503,68.8061,163.7216,F,22
504,68.92179,161.0015,M,23
505,68.58372,148.8168,F,26
506,64.78907,142.3107,M,21
507,66.66734,157.6659,M,22
508,70.56364,161.7978,M,21
509,69.94177,146.3265,F,30
510,68.94909,151.8538,M,19
511,67.66576,154.9462,F,20
512,63.40403,167.5215,M,21
513,68.31167,145.8017,F,27
514,70.37854,158.5816,M,34
515,69.38629,151.1817,F,24
516,67.37402,137.0362,M,20
517,67.73026,171.2765,M,21
518,68.56738,146.4333,F,21
519,66.17013,134.6236,F,18
520,63.70691,143.9385,M,20
521,68.21709,165.1184,M,24
522,65.76153,153.4719,F,22
523,68.45988,138.1928,F,20
524,67.92319,158.8697,F,23
525,67.01471,126.5003,F,20
526,68.29893,147.9296,M,22
527,67.89495,153.8992,F,21
528,66.80098,143.2548,M,26
529,69.49971,139.1098,F,20
530,65.05914,138.1958,F,33
531,69.16225,173.5486,M,19
532,64.30282,138.9556,F,19
533,68.47409,153.2867,M,20
534,70.47111,169.4423,M,32
535,68.6578,146.8129,F,24
536,66.75114,161.1156,M,21
537,69.15274,154.6408,M,21
538,66.08879,135.0933,F,20
539,69.31688,167.0158,M,27
540,66.97412,143.209,M,18
541,70.23879,148.1841,F,20
542,67.21484,155.2212,M,22
543,69.41816,163.9711,F,22
544,69.77321,164.5959,F,20
545,66.23749,159.1215,M,18
546,66.69679,125.749,F,26
547,68.83511,154.504,F,27
548,65.19464,140.1149,F,18
549,70.71689,154.2502,F,18
550,71.53849,169.5479,M,21
551,67.57383,163.888,M,20
552,67.14315,135.5957,F,19
553,65.53571,145.771,M,26
554,64.90589,157.3977,F,18
555,71.11228,150.181,F,21
556,67.30217,142.6472,M,24
557,70.9964,164.8564,M,21
558,67.65882,132.1952,F,19
559,72.29726,159.6495,M,22
560,68.0562,151.7312,M,18
561,64.68847,136.8989,F,18
562,67.75382,161.7758,M,20
563,64.65419,145.8917,F,24
564,67.42969,147.0453,F,20
565,69.76571,176.6267,M,24
566,70.64134,180.721,M,27
567,70.61416,148.8502,F,20
568,70.24321,153.9546,M,20
569,67.41523,147.7683,F,26
570,68.89215,150.2338,M,22
571,70.58871,152.6207,F,22
572,70.78535,167.9754,F,20
573,70.24256,162.4371,F,22
574,68.25489,155.8742,F,22
575,66.47317,135.6038,M,18
576,68.34844,166.8485,F,24
577,70.2269,167.4238,F,18
578,70.10091,161.0158,F,22
579,70.00471,143.1258,F,22
580,66.24238,142.9086,F,24
581,70.21431,160.9058,M,19
582,67.15104,153.3714,F,22
583,66.89261,151.8675,F,18
584,68.42378,148.1745,F,19
585,66.43305,155.6321,M,18
586,69.38655,154.4436,F,24
587,70.70351,165.6531,F,26
588,67.41342,150.4451,M,24
589,69.66769,160.9237,F,27
590,68.60463,156.4404,F,27
591,67.3794,141.3836,F,20
592,67.7796,156.9305,F,21
593,68.16535,151.9152,M,21
594,66.75706,154.099,F,28
595,67.04924,138.3501,F,18
596,70.87196,157.915,F,19
597,67.95068,144.2726,M,19
598,69.80841,156.4081,F,19
599,69.31348,155.1679,M,23
600,67.40826,145.7899,F,19
601,68.93784,156.923,F,18
602,68.0331,167.9645,M,19
603,64.32105,147.3006,F,18
604,65.53287,139.8176,M,18
605,69.6285,157.3461,F,22
606,66.08383,139.229,F,20
607,67.3919,158.7786,F,28
608,67.66947,157.6478,M,26
609,70.01384,163.7091,M,26
610,67.15976,163.9652,M,22
611,66.16228,146.5498,F,30
612,71.32203,161.661,F,21
613,67.49014,140.9978,M,19
614,67.32737,173.0337,M,20
615,68.32952,155.6979,F,21
616,68.44145,142.0225,F,23
617,63.48592,142.037,F,18
618,64.44615,142.0657,M,20
619,65.27492,141.7351,F,20
620,63.82215,129.9652,F,22
621,68.67803,165.2632,M,21
622,67.21984,147.3479,F,21
623,65.12886,172.9373,M,23
624,69.67981,180.2588,M,19
625,65.60404,149.827,F,24
626,66.10641,138.2587,M,20
627,70.18297,169.0942,F,19
628,66.71211,137.8209,F,18
629,69.26014,165.0753,M,21
630,65.66079,137.5823,M,26
631,67.25401,167.4068,M,20
632,65.91096,138.113,F,35
633,67.25612,167.6763,M,26
634,69.23864,140.709,F,27
635,66.25718,130.8144,F,22
636,69.32626,169.2679,M,20
637,66.54739,140.9609,F,26
638,69.0027,134.9733,F,21
639,66.89711,152.7951,F,18
640,67.36842,169.1026,M,18
641,68.01659,159.6723,F,21
642,67.74778,138.0505,F,26
643,69.8667,147.0936,F,22
644,65.36769,140.66,F,20
645,64.94199,147.1335,M,18
646,67.98234,177.1187,M,19
647,67.51672,151.2992,F,20
648,67.63519,151.2577,F,20
649,69.10276,156.8237,F,21
650,70.11356,164.3284,M,20
651,67.3778,143.6033,M,20
652,70.26611,148.3547,F,24
653,69.49172,160.0504,F,22
654,64.2838,147.8846,F,21
655,69.04609,152.7375,M,24
656,68.52437,152.5335,M,24
657,67.23945,147.236,F,19
658,66.60203,127.2203,F,20
659,68.00128,158.4823,F,22
660,69.02697,139.365,F,22
661,69.72584,151.9941,M,18
662,67.28489,126.1576,F,21
663,66.41854,155.4578,M,20
664,67.92717,155.8859,F,20
665,66.32293,140.9839,F,18
666,69.5883,161.0006,F,22
667,68.88718,148.2976,F,18
668,71.99579,140.9712,F,20
669,66.56086,161.6858,F,21
670,65.6959,142.6595,F,19
671,68.95687,179.3194,M,21
672,69.07487,150.0994,F,20
673,65.89813,150.2834,M,18
674,66.92223,143.2545,F,20
675,73.11184,184.2222,M,21
676,69.75895,160.2653,F,24
677,68.30511,163.6698,F,18
678,70.39663,146.2975,F,21
679,67.79848,144.4849,M,24
680,69.20764,163.2299,M,24
681,68.13844,154.2967,F,26
682,66.29224,155.5499,F,20
683,65.25753,152.0805,M,26
684,67.4663,146.7751,F,21
685,64.77087,135.1878,M,18
686,71.66102,161.4882,F,18
687,65.08427,156.2946,F,36
688,69.2736,149.154,M,30
689,68.77683,153.0372,F,30
690,69.00022,163.7153,M,18
691,70.04402,168.3418,M,26
692,69.2782,152.5871,F,18
693,66.27532,152.0779,F,19
694,65.4048,150.0837,M,26
695,65.21928,153.7552,M,18
696,67.15402,137.9697,M,22
697,67.05275,148.4136,F,18
698,69.99264,169.3903,F,20
699,71.23161,151.6463,F,19
700,66.754,145.9628,F,18
701,66.39321,157.1428,F,18
702,66.54816,145.7891,F,27
703,69.30638,152.894,M,22
704,66.36527,141.0263,F,21
705,70.71221,150.5161,F,21
706,69.86285,163.0276,M,32
707,65.43432,152.9587,M,18
708,68.41685,149.9536,F,19
709,69.42922,161.0129,M,28
710,66.14528,134.0853,F,19
711,65.54906,169.8724,M,21
712,66.6625,141.3698,F,26
713,68.07284,145.7308,M,21
714,66.44597,141.7719,F,23
715,70.71387,149.3311,F,26
716,64.91223,148.1429,M,22
717,71.09216,144.2036,F,28
718,66.60996,150.51,M,21
719,68.83269,145.3519,M,24
720,67.68973,149.333,F,20
721,68.40038,151.8565,F,24
722,68.70439,150.8277,M,22
723,64.09668,141.7551,M,24
724,69.6239,150.8927,F,22
725,70.19784,150.1598,F,19
726,66.43285,151.3125,F,24
727,65.28542,158.4905,M,26
728,67.997,171.3149,M,21
729,69.1103,159.6129,F,22
730,68.8211,170.875,M,20
731,66.50187,151.4351,F,20
732,67.00111,152.1893,M,21
733,66.33317,152.2607,F,24
734,66.48216,143.4405,M,18
735,67.33816,153.8718,M,22
736,71.4514,163.4267,F,19
737,69.28443,158.4852,M,28
738,65.99168,140.6884,F,24
739,68.77322,168.5811,M,27
740,64.02299,161.7484,M,22
741,68.58104,153.9542,F,23
742,70.54788,165.5221,M,18
743,66.88904,129.8661,F,33
744,66.01446,141.9619,F,20
745,68.9995,162.553,M,22
746,67.10415,169.0437,M,18
747,67.34998,140.0575,F,22
748,66.3787,155.9081,M,21
749,69.63917,164.436,M,22
750,67.22288,159.2725,F,24
751,73.40755,158.4841,M,20
752,67.23082,157.1252,M,26
753,71.88676,165.7433,F,24
754,65.16644,115.16714,F,20
755,68.70418,167.8465,F,22
756,66.92901,132.4634,F,22
757,66.76524,142.8785,F,30
758,68.45585,143.4494,F,18
759,68.60514,168.6452,M,20
760,66.97479,150.9794,M,20
761,70.06553,168.6565,M,18
762,71.96799,165.4512,F,19
763,69.41682,156.8119,M,21
764,67.1012,143.3319,F,22
765,69.21266,154.0228,M,20
766,66.33023,134.1516,F,20
767,67.46362,165.5677,M,21
768,66.79284,159.821,F,26
769,69.80699,155.8127,F,18
770,66.27854,165.9869,M,21
771,68.50756,149.3864,F,22
772,65.5345,133.2673,M,20
773,68.02868,144.7008,F,19
774,68.28863,141.0382,M,20
775,64.37275,132.0444,F,24
776,70.29823,141.2126,M,19
777,69.56448,177.8726,M,18
778,69.09655,143.9487,F,22
779,66.69743,154.9754,M,21
780,66.34347,126.8726,F,21
781,72.43314,156.8233,M,18
782,67.24113,139.8194,M,19
783,67.63851,152.8065,F,20
784,65.71741,125.23454,M,18
785,69.13138,174.8567,M,20
786,69.52901,155.8482,M,22
787,66.98255,158.4911,M,22
788,67.8618,143.216,F,19
789,66.44205,166.5467,F,22
790,68.28885,163.6114,M,24
791,67.40692,147.9748,F,20
792,67.44995,139.6344,M,28
793,67.50124,129.7343,F,26
794,66.19854,134.8698,F,23
795,70.98202,158.3511,F,26
796,65.52678,135.8558,F,28
797,67.55391,150.2237,M,19
798,68.81614,149.3491,F,20
799,67.36899,160.0826,M,18
800,68.17351,140.2405,F,21
801,70.1981,154.9561,F,21
802,67.24826,156.3017,M,20
803,70.50017,154.9614,F,22
804,66.91329,140.6859,F,18
805,67.38143,147.5977,M,30
806,66.37032,144.0851,F,21
807,68.16586,141.8075,F,18
808,67.7123,156.854,F,19
809,65.77801,157.39,M,35
810,71.5318,170.7097,M,18
811,71.23152,171.2853,M,26
812,69.90597,168.4024,M,22
813,68.60468,136.5222,F,34
814,65.70466,143.6981,F,20
815,69.63168,181.3586,F,20
816,70.46814,159.2525,M,24
817,67.7098,130.7539,M,22
818,66.40266,148.9013,F,21
819,67.50781,148.4934,F,18
820,69.3757,156.4021,F,22
821,68.92071,135.203,F,20
822,69.0893,166.4555,M,22
823,68.29557,158.2266,F,21
824,68.82757,151.3901,F,27
825,67.13424,155.2998,M,23
826,68.78129,151.9139,F,20
827,70.53369,168.9057,M,18
828,67.69057,152.1257,M,24
829,69.08901,168.4554,M,21
830,66.47035,157.4263,M,18
831,68.08852,132.5894,F,24
832,67.01862,136.5886,F,21
833,67.47904,135.9255,F,24
834,68.57715,147.4987,F,20
835,68.98874,147.3804,F,24
836,66.17396,131.7401,M,18
837,68.91559,146.2691,F,24
838,65.90734,159.3527,M,24
839,66.42765,149.3259,M,22
840,65.08668,152.8175,M,21
841,70.02139,169.8152,M,20
842,70.50652,164.0022,F,22
843,68.8252,158.6133,F,26
844,68.5428,137.9515,F,18
845,68.86125,152.612,F,24
846,62.50806,142.6828,F,19
847,66.34338,159.2665,M,22
848,67.64549,171.9933,M,26
849,67.97623,155.8454,F,24
850,67.11625,139.6904,M,19
851,68.53583,135.9849,F,20
852,65.18689,160.5221,M,21
853,69.84154,157.6172,M,21
854,70.90373,174.2919,M,20
855,71.25743,157.4976,F,21
856,66.73719,140.7989,F,21
857,66.76773,145.1309,F,27
858,69.15846,162.5534,F,19
859,70.11607,155.1375,F,21
860,67.43981,144.2379,M,21
861,66.16717,143.5262,M,20
862,71.10332,143.5517,F,18
863,67.64033,163.1275,F,21
864,70.55525,173.9322,F,21
865,66.93601,143.5295,F,21
866,66.92076,129.6916,F,18
867,69.52703,152.1055,M,23
868,69.63523,153.2172,F,19
869,67.5213,135.3777,M,23
870,65.28991,129.1969,F,28
871,69.00279,156.4961,M,20
872,68.50987,155.9982,M,26
873,67.65171,166.3879,M,23
874,70.18686,151.0394,M,20
875,69.4793,143.9635,F,18
876,66.31152,149.7468,F,21
877,69.71346,151.4838,M,22
